name,price,regular_price,status,sku,brand,image,features
Tenda W300D ADSL2/ADSL2+ Router,To be announced,,Out Of Stock,554,Tenda,https://www.startech.com.bd/image/cache/data/Router/Tenda_W300D-500x500.jpg,"[{'LED': 'POWER, ADSL, WLAN, LAN, SYS, WAN'}, {'Transmission Media': 'Cat.5\r\nCat.5e\r\nCat.6\r\nTelephone Line '}, {'Wireless Speed': '300Mbps'}, {'Interface': '1* RJ11 port\r\n3*10/100Mbps auto-negotiation (Auto MDI/MDIX) LAN ports;\r\n1*10/100Mbps auto-negotiation WAN/LAN Interchangeable port (Auto MDI/MDIX)'}, {'Button': '1* Power\r\n1* Reset'}, {'External Power Supply': 'Input: 100-240V 50/60MHz\r\nOutput: 9V DC-1A'}, {'Wireless Standards': 'IEEE 802.11n, IEEE 802.11g, IEEE 802.11b\r\nIEEE 802.3, IEEE 802.3u\r\nANSI T1.413, ITU G.992.1, ITU G.992.2, ITU G.992.3, ITU G.992.5'}, {'Frequency': '2.4GHZ'}, {'Wireless Security': ' Wireless Access Control (Wireless MAC filter)\r\nWireless Security: On/Off\r\n64-/128-bit WEP\r\nWPA-PSK/WPA2-PSK'}]"
Toshiba 2TB Sata Desktop Hard Disk,To be announced,,Out Of Stock,410,Toshiba,https://www.startech.com.bd/image/cache/data/HARD DISK/DT01ACA100-unit-500x500.jpg,"[{'Buffer size': '32 MByte'}, {'Non-operating (Maximum)': '350 G, with 2 ms half sine wave '}, {'Supported interface standards': 'ATA-8\r\nSerial ATA 3.0 '}, {'Internal or External': 'Internal'}, {'Capacity (GB)': '2000 GB'}, {'RPM': '7200'}, {'Warranty': '02 Years'}]"
Asus RT-AC68U AiMesh (1 pack) AC1900 Dual Band 1900Mbps Router,To be announced,,Out Of Stock,1083,Asus,https://www.startech.com.bd/image/cache/data/Router/asusraoter-500x500.jpg,"[{'Signal Rate': '802.11a : 6,9,12,18,24,36,48,54Mbps\r\n802.11b : 1, 2, 5.5, 11Mbps\r\n802.11g : 6,9,12,18,24,36,48,54Mbps\r\n802.11n : up to 450Mbps\r\n802.11n TurboQAM：up to600Mbps\r\n802.11ac: up to 1300Mbps'}, {'Interface': '4 x RJ45 for 10/100/1000/Gigabits BaseT for LAN, 1 x RJ45 for 10/100/1000/Gigabits BaseT for WAN\r\nUSB 2.0 x 1\r\nUSB 3.0 x 1'}, {'Button': 'WPS Button, Reset Button, Power Button, Wireless on/off Button'}, {'External Power Supply': 'AC Input : 110V~240V(50~60Hz)\r\nDC Output : 19 V with max. 1.75 A current'}, {'Wireless Standards': 'IEEE 802.11a, IEEE 802.11b, IEEE 802.11g, IEEE 802.11n, IEEE 802.11ac, IPv4, IPv6'}, {'Frequency': '2.4GHz/5GHz'}, {'Wireless Security': 'Firewall: SPI intrusion detection,DoS protection\r\nAccess control: Parental control, Network service filter, URL filter, Port filter'}]"
NEC L51W Projector,To be announced,,Out Of Stock,684,NEC,https://www.startech.com.bd/image/cache/data/projektor/NEC/L51WLED-ProjectorViewFront-upper-500x500.jpg,"[{'Audio': '1 x RCA'}, {'Brightness': '500 ANSI Lumen'}, {'Lamp': 'LED Light Source (no lamp required)'}, {'Other Features': 'Supported Resolutions- 920 x 1080 (HDTV / 1086 i); 1680 x 1050 (WSXGA+); 1440 x 900 (WXGA); 1400 x 1050 (SXGA+); 1366 x 768 (WSXGA+); 1280 x 1024 (SXGA); 1280 x 960 (QVGA); 1280 x 800 (WXGA); 1280 x 768 (WXGA); 1280 x 720 (720 p); 1152 x 870 (MAC); 1152 x 864 (SXGA); 1024 x 768 (XGA); 800 x 600 (SVGA); 720 x 576 (576 i/p); 720 x 480 (480 i/p); 640 x 480 (VGA)\n\r\nSD Card'}, {'Resolution': 'WXGA'}, {'Image Size': 'Minimum: 43.2 / 17”\t\t\t\r\nMaximum: 254 / 100”\t\t\t\n'}, {'Warranty': '1 year ( Lamp 6 month) '}]"
ADATA 4GB DDR3 1600 BUS,To be announced,,Out Of Stock,519,ADATA,https://www.startech.com.bd/image/cache/catalog/ram/adata/4gb-ddr3/4gb-ddr3-1-500x500.jpg,
Tenda W 316R Router,To be announced,,Out Of Stock,552,Tenda,https://www.startech.com.bd/image/cache/data/Router/201212111533596853-500x500.jpg,"[{'LED': 'Power, SYS, WLAN, WPS, WAN, LAN(1-4)'}, {'Wireless Speed': ' Up to 150Mbps'}, {'Interface': '1*10/100M WAN Port (Auto MDI/MDIX)\r\n4*10/100M LAN Ports (Auto MDI/MDIX)'}, {'Button': '1* WPS; 1* Reset'}, {'External Power Supply': 'Input: 100-240V～50/60Hz 0.3A;\r\nOutput: DC 9V==600mA'}, {'Wireless Standards': 'Wireless Radio: Enable/Disable;\r\nSSID Broadcast: Enable/Disable;\r\nChannel: 1-11'}, {'Frequency': '2.4GHZ'}, {'Wireless Security': 'Wireless Security: Enable/Disable;\r\n64-/128- bit WEP,\r\nWPA-PSK, WPA2-PSK; WPS;\r\nWireless Access Control (Wireless MAC filter);'}]"
Laptop Charger Adapter A Grade for Acer,"1,300৳","1,430৳",In Stock,1124,Non-Brand,https://www.startech.com.bd/image/cache/data/laptopaccessories/hpadpter-500x500.JPG,
Adata 8GB DDR3 1600 Mhz Ram,To be announced,,Out Of Stock,821,ADATA,https://www.startech.com.bd/image/cache/data/RAM/a-data-premier-2gb-ddr3-u-dimm-1600-42250-500x500.jpg,
HP 8GB (1x8GB) DDR3-1866 ECC RAM,To be announced,,Out Of Stock,819,HP,https://www.startech.com.bd/image/cache/catalog/RAM/HP 8GB (1x8GB) DDR3-500x500.jpg,
ASUS SDRW-08D2S-U LITE External Slim DVD Writer,To be announced,,Out Of Stock,573,Asus,https://www.startech.com.bd/image/cache/catalog/dvd-writer/as-500x500.png,"[{'Access time': 'DVD : 160 ms\r\nCD : 140 ms'}, {'Color': 'Black'}, {'Dimensions': 'Vertical and Horizontal (+5° ~ -5°)'}, {'Disc Diameters': '12cm/8cm'}, {'Disc Formats': 'Audio CD, Video CD, CD-I, CD-Extra, Photo CD, CD-Text, CD-ROM/XA, Multi-session CD, CD-R, CD-RW, CD-ROM , DVD±R(SL/DL), DVD±RW, DVD-ROM(SL/DL), DVD-RAM, DVD Video'}, {'Humidity': 'Operating : 15 % ~ 80 % (Non-condensing)\r\nStorage : 10 % ~ 90 % (Non-condensing)'}, {'Interface': 'USB 2.0'}, {'Mounting Orientation': 'Vertical and Horizontal (+12° ~ -12°)'}, {'OS Support': 'Windows® 7\r\nWindows® Vista\r\nWindows® XP\r\nWindows® Server 2003\r\nWindows® Server 2008\r\nMac OS X 10.5 '}, {'Power': 'USB Power +5V ± 5% '}, {'Read Speed': 'DVD+R : 8X\r\nDVD-R : 8X\r\nDVD+RW : 8X\r\nDVD-RW : 8X\r\nDVD-ROM : 8X\r\nDVD+R(DL) : 8X\r\nDVD-R(DL) : 8X\r\nDVD-ROM(DL) : 8X\r\nDVD-RAM : 5X\r\nCD-R : 24X\r\nCD-RW : 24X\r\nCD-ROM : 24X\r\nDVD Video Playback : 4X\r\nVCD Playback : 10X\r\nAudio CD Playback : 10X'}, {'System Requirements': 'CPU: Intel Pentium® 4 2.0GHz or AMD Athlon 2100+ or higher\r\nRAM: 512 MB or more is recommended\r\nHDD: 10 GB or higher'}, {'Temperature': 'Operating : 5 ℃ to 40 ℃\r\nStorage : -30 ℃ to 60 ℃'}, {'Weight': '280 g'}, {'Write Speed': 'DVD+R : 8X\r\nDVD-R : 8X\r\nDVD+RW : 8X\r\nDVD-RW : 6X\r\nDVD+R(DL) : 6X\r\nDVD-R (DL) : 6X\r\nDVD-RAM : 5X\r\nCD-R : 24X\r\nCD-RW : 16X'}, {'Warranty': '1 Year'}]"
