name,price,regular_price,status,sku,brand,image,features
"Lenovo IdeaPad Flex 5i Core i7 10th Gen MX330 2GB Graphics 14"" FHD Touch Laptop",To be announced,,Out Of Stock,14725,Lenovo,https://www.startech.com.bd/image/cache/catalog/laptop/lenovo/ideapad-flex-5i/flex-5i-005-500x500.jpg,"[{'Processor Brand': 'Intel '}, {'Processor Model': 'Core i7-1065G7'}, {'Genration': '10th Gen'}, {'Processor Core': '4'}, {'Processor Thread': '8'}, {'CPU Cache': '8MB'}, {'Chipset Model': 'No'}, {'Display Size': '14 Inch'}, {'Display Resolution': 'FHD (1920x1080)'}, {'Touch Screen': 'Yes'}, {'Display Features': '360 degree display , WVA 250nits Glossy 10-point'}, {'RAM': '8GB (4GB x 2)'}, {'RAM Type': 'DDR4'}, {'Bus Speed': '3200MHz '}, {'Total RAM Slot': 'No'}, {'Storage Type': ' M.2 2242 PCIe NVMe SSD'}, {'Storage Capacity': '512GB '}, {'Extra M.2 Slot': 'No'}, {'Graphics Model': 'NVIDIA GeForce MX330 '}, {'Graphics Memory': 'Shared'}, {'Keyboard Type': 'LED backlight'}, {'TouchPad': 'Yes'}, {'WebCam': '720p camera '}, {'Speaker': '2 x 2W'}, {'Microphone': 'Dual-array mic'}, {'Audio Features': 'Dolby Audio certification'}, {'Optical Drive': 'N/A'}, {'Card Reader': '1 x 4-in-1 media reader (MMC, SD, SDHC, SDXC)'}, {'HDMI Port': '1 x HDMI 1.4b'}, {'USB 3 Port': '2 x USB 3.12 Gen 1 (1 x always-on)'}, {'USB Type-C / Thunderbolt Port': '1 x USB-C 3.1 Gen 1 (with USB Power Delivery) '}, {'Headphone & Microphone Port': '1 x Headphone / mic jack '}, {'LAN': 'No'}, {'WiFi': '11ax, 2x2, Wi-Fi '}, {'Bluetooth': 'Bluetooth 5.0'}, {'Fingerprint Sensor': 'Yes'}, {'Camera Privacy Shutter': 'Yes'}, {'Security Chip': 'No'}, {'Operating System': 'Windows 10 Home '}, {'Battery Type': '3-cell  integrated'}, {'Battery Capacity': '52.5Wh'}, {'Backup Time (Approx)': 'Up to 10 hours'}, {'Adapter Type': '65W Adapter'}, {'Color': 'Graphite Grey'}, {'Dimensions': '321.5 x 217.5 x 17.9 - 20.4 (mm)'}, {'Weight': '1.5 kg'}, {'Warranty Details': '02 years International Limited Warranty (Terms & Conditions Apply As Per Lenovo)'}]"
"Lenovo IdeaPad Slim 3 Ryzen 7 3700U 15.6"" FHD Laptop with Windows 10",To be announced,,Out Of Stock,14728,Lenovo,https://www.startech.com.bd/image/cache/catalog/laptop/lenovo/ideapad-slim-3/ideapad-slim-3-1-500x500.jpg,"[{'Processor Brand': 'AMD '}, {'Processor Model': 'Ryzen 7 3700U'}, {'Processor Frequency': '2.3GHz up to 4.0 GHz '}, {'Processor Core': '4'}, {'Processor Thread': '8'}, {'CPU Cache': 'L2 Cache 2MB\r\nL3 Cache 4MB'}, {'Chipset Model': 'N/A'}, {'Display Size': '15.6 Inch'}, {'Display Resolution': 'FHD (1920 x 1080)'}, {'Touch Screen': 'No'}, {'Display Features': '200 nits, 45% NTSC Display'}, {'RAM': '8GB'}, {'RAM Type': 'DDR4 '}, {'Bus Speed': '2666MHz '}, {'Total RAM Slot': '2'}, {'Storage Type': ' HDD SATA + NVMe PCIe M.2 SSD'}, {'Storage Capacity': '1TB HDD + 128GB SSD'}, {'HDD RPM': '5400rpm'}, {'Extra M.2 Slot': 'No'}, {'Supported SSD Type': 'M.2 PCIe SSD nvme'}, {'Graphics Model': 'RADEON RX VEGA 10 '}, {'Graphics Memory': 'Shared'}, {'Keyboard Type': '6-row English International Keyboard'}, {'TouchPad': 'Yes'}, {'WebCam': '0.3M  '}, {'Speaker': '2 x 1.5W speakers'}, {'Microphone': 'Yes'}, {'Audio Features': 'Dolby Audio'}, {'Optical Drive': 'N/A'}, {'Card Reader': 'SD card reader'}, {'HDMI Port': 'HDMI 1.4b'}, {'Mini HDMI Port': 'N/A'}, {'USB 2 Port': 'USB 2.0'}, {'USB 3 Port': '2 x USB 3.1 (Gen 1)'}, {'USB Type-C / Thunderbolt Port': 'N/A'}, {'Headphone & Microphone Port': 'Headphone / microphone combo jack '}, {'LAN': 'N/A'}, {'WiFi': 'WiFi 2 x 2 Ac '}, {'Bluetooth': 'Bluetooth 4.2 '}, {'Fingerprint Sensor': 'N/A'}, {'Camera Privacy Shutter': 'N/A'}, {'Security Chip': 'N/A'}, {'Operating System': 'Windows 10 '}, {'Battery Type': 'Integrated '}, {'Battery Capacity': '35Wh'}, {'Backup Time (Approx)': 'Up to 7.5 hours'}, {'Adapter Type': '65W AC Adapter'}, {'Color': 'Abyss Blue'}, {'Weight': '1.85kg / 4.07lbs'}, {'Warranty Details': '02 years International Limited Warranty (Terms & Conditions Apply As Per Lenovo)'}]"
Dell Precession T3630 Core i7 9th Gen Workstation,To be announced,,Out Of Stock,14731,Dell,https://www.startech.com.bd/image/cache/catalog/desktop-pc/brand-pc/dell/precession-t3630/precession-t3630-500x500.jpg,"[{'Processor': 'Intel Core i7-9700 Processor (8 Core, 12MB Cache, 3.0Ghz, 4.7 Ghz Turbo)'}, {'Motherboard': 'Intel C246 chipset'}, {'RAM': '32GB (2x16GB) DDR4 2666MHz UDIMM Non-ECC Memory'}, {'Graphics Card': 'Nvidia GeForce RTX 2060, 6GB GDDR6 Graphics Card'}, {'Storage': '3.5"" 2TB 7200rpm SATA Hard Disk Drive\r\n(Internal Bay: Four Additional Hard Drive Bay)'}, {'Casing': 'Tower'}, {'Power Supply': '460W up to 90% efficient PSU (80Plus Gold)'}, {'Network & Wireless Connectivity': 'Intel Wireless-AC 9260, Dual-band 2x2 802.11ac Wi-Fi with MU-MIMO +\r\nBluetooth 5'}, {'Operating System': 'Windows 10 Pro (64bit) English License'}, {'Keyboard': 'Dell Wired Keyboard KB216 Black (English)'}, {'Mouse': 'Dell Wired Mouse MS116 Black'}, {'Optical Drive': '8x DVD+/-RW 9.5mm Optical Disk Drive'}, {'External I/O Ports': '1. Power button\r\n2. Audio – GHS\r\n3. USB2, Type A\r\n4. USB2, Type A\r\n5. USB3.1 Type C\r\n6. USB3.1 Type A\r\n7. Serial port \r\n8. 2x DisplayPort\r\n9. 2x USB2, Type A\r\n10. 4x USB3.1 Type A\r\n11. Audio Jack'}, {'Warranty': '3 Years'}]"
Adata UV128 USB 3.2 128GB Pendrive,"1,425৳","1,520৳",In Stock,14733,ADATA,https://www.startech.com.bd/image/cache/catalog/pendrive/adata/uv128/uv128-2-500x500.jpg,"[{'Capacity': '128GB'}, {'Read Speed': 'Up to 100 MB/s read'}, {'Connectivity': 'USB 3.2 '}, {'Dimensions': '60 x 20 x 9mm'}, {'System Requirement ': 'Windows XP, Vista, 7, 8, 8.1, 10, Mac OS X 10.6 or later, Linux kernel 2.6 or later, with no device driver needed'}, {'Weight': '10g'}, {'Warranty': 'Lifetime warranty'}]"
HP 200 G4 22 Core i5 10th Gen All-in-One PC,"78,000৳","80,000৳",In Stock,14734,HP,https://www.startech.com.bd/image/cache/catalog/all-in-one-pc/hp-all-in-one-pc/hp-200-g4-22/hp-200-g4-22-03-500x500.jpg,"[{'Model': 'Core-i5-10210U'}, {'Base Frequency': '1.6GHz'}, {'Max Turbo Frequency': ' 4.2GHz'}, {'Cache': '6MB'}, {'Cores': '4 cores'}, {'Type': 'DDR4 '}, {'Capacity': '8GB'}, {'Frequency': '2666MHz'}, {'Hard Disk Drive (HDD)': '1 TB HDD'}, {'Model': 'Intel UHD Graphics'}, {'Connectivity': 'Rear: 1 HDMI-out 1.4; 1 headphone/microphone combo; 1 power connector; 1 RJ-45; 2 USB 2.0; 2 USB 3.2 Gen 1\r\nBottom: 1 3-in-1 SD card reader'}, {'Key Board': 'USB Keyboard'}, {'Mouse': 'USB Mouse'}, {'Camera': '5 MP pull-up webcam with integrated dual array digital microphone, maximum resolution of 2592 x 1944'}, {'Dimensions': '19.3 x 14.99 x 8.05 in; 49.03 x 38.07 x 20.45 cm'}, {'Weight': '12.57 lb; 5.7 kg'}, {'Network & Wireless Connectivity': 'Integrated Realtek RTL8111HSH-CG GbE'}, {'Optical Drive': 'HP 9.5 mm Slim DVD-Writer'}, {'Warranty': '3 years Warranty'}, {'Nature ': 'Free DoS'}]"
"Microsoft Surface Pro 7 Core i7 10th Gen 16GB Ram 512GB SSD 12.3"" Multi-Touch Display",To be announced,,Out Of Stock,14737,Microsoft,https://www.startech.com.bd/image/cache/catalog/laptop/microsoft/surface-pro-7/surface-pro-7-01-500x500.jpg,"[{'Processor Brand': 'Intel '}, {'Processor Model': 'Core i7-1065G7'}, {'Genration': '10th Gen'}, {'Processor Frequency': '1.30 GHz up to 3.90 GHz'}, {'Processor Core': '4'}, {'Processor Thread': '8'}, {'CPU Cache': '12MB'}, {'Display Size': '12.3 (Inch)'}, {'Display Type': 'PixelSense MultiTouch Display'}, {'Display Resolution': '2736x1824 (WxH)'}, {'Touch Screen': 'Yes\n'}, {'Display Features': 'Aspect Ratio: 3:2, Pixel Density: 267 PPI'}, {'RAM': '16GB'}, {'RAM Type': 'DDR4'}, {'Storage Type': 'NVMe PCIe'}, {'Storage Capacity': '512GB '}, {'Extra M.2 Slot': 'N/A'}, {'Graphics Model': 'Intel UHD Graphics'}, {'Graphics Memory': 'Shared'}, {'Keyboard Type': 'Virtual (No Physical Keyboard Included) '}, {'WebCam': 'FHD Webcam ( Front & Rear)'}, {'Speaker': '1.6W stereo speakers'}, {'Microphone': ' Dual far-field Studio Mics'}, {'Audio Features': 'Dolby Atmos'}, {'Optical Drive': 'N/A'}, {'Card Reader': 'SD, SDHC, SDXC '}, {'HDMI Port': 'N/A'}, {'USB 3 Port': '1 x USB-A'}, {'USB Type-C / Thunderbolt Port': '1 x USB Type-C'}, {'Headphone & Microphone Port': '1 x 1/8"" / 3.5 mm Headphone/Microphone Input/Output Combo'}, {'LAN': 'N/A'}, {'WiFi': 'WiFi 6 (802.11ax)'}, {'Bluetooth': 'Bluetooth 5.0'}, {'Fingerprint Sensor': 'N/A'}, {'Security Chip': 'Firmware TPM 2.0'}, {'Operating System': 'Windows-10 Pro\n'}, {'Battery Type': 'Integrated'}, {'Backup Time (Approx)': 'Up to 15 Hrs.'}, {'Color': 'Platinum'}, {'Dimensions': '292 x 201 x 8.5 mm'}, {'Weight': '1.74 lb / 0.79 kg'}, {'Warranty Details': '01 year'}]"
Adata UV360 USB 3.2 64GB Flash Drive,To be announced,,Out Of Stock,14741,ADATA,https://www.startech.com.bd/image/cache/catalog/pendrive/adata/uv360/uv360-1-500x500.jpg,"[{'Capacity': ' 64GB'}, {'Color': 'Black'}, {'Connectivity': 'USB 3.2'}, {'Dimensions': '( L x W x H ): 53.3 x 17.9 x 7.4mm'}, {'System Requirement ': 'Windows XP, Vista, 7, 8, 8.1, 10, Mac OS X 10.6 or later, Linux kernel 2.6 or later, with no device driver needed.'}, {'Weight': '13.9g'}, {'Warranty': 'Lifetime warranty '}]"
Adata UV360 USB 3.2 32GB Flash Drive,To be announced,,Out Of Stock,14742,ADATA,https://www.startech.com.bd/image/cache/catalog/pendrive/adata/uv360/uv360-001-500x500.jpg,"[{'Capacity': ' 32GB'}, {'Color': 'Black'}, {'Connectivity': 'USB 3.2'}, {'Dimensions': '( L x W x H ): 53.3 x 17.9 x 7.4mm'}, {'System Requirement ': 'Windows XP, Vista, 7, 8, 8.1, 10, Mac OS X 10.6 or later, Linux kernel 2.6 or later, with no device driver needed.'}, {'Weight': '13.9g'}, {'Warranty': 'Lifetime warranty '}]"
Thermaltake SMART BM2 750W Semi Modular 80 Plus Bronze Power Supply,"7,200৳","7,920৳",In Stock,14743,Thermaltake,https://www.startech.com.bd/image/cache/catalog/power-supply/thermaltake/smart-bm2-750w/smart-bm2-750w-500x500.jpg,"[{'Efficiency (Approx.)': '85%'}, {'Certification': 'Meet 80 PLUS Bronze at 115Vac input.'}, {'Fan Size': '140mm Fan: 2300 R.P.M. ± 10%'}, {'Voltage': '100V-240V~'}, {'Frequency Range': '47Hz -63Hz'}, {'Current': '10A max.'}, {'Modular Type': 'Semi Modular'}, {'Total Power': '750W'}, {'Peak Power': '900W'}, {'AC Input': '230Vac input'}, {'DC Output': '+12V'}, {'Main Power': '24pin Main connector (600mm) x 1'}, {'CPU': 'ATX 12V 8pin connector (600mm) x 1\r\n4+4pin connector (150mm) x 1'}, {'PCI-E': 'PCI-E 6+2pin connectors (500mm + 150mm) x 2\r\nPCI-E 6+2pin connectors (500mm + 150mm) x 2'}, {'SATA': 'SATA connectors (500mm + 150mm + 150mm) x 3\r\nSATA connectors (500mm + 150mm + 150mm) x 3\r\nSATA connectors (500mm + 150mm + 150mm) x 3'}, {'Molex': 'Peripheral connectors (500mm + 150mm + 150mm+ 150mm) x 4'}, {'Floppy': 'Peripheral to FDD adapter cable (150mm) x 1'}, {'Manufacturing Warranty': '5 Years'}]"
Thermaltake SMART BM2 550W Semi Modular 80 Plus Bronze Power Supply,"5,600৳","6,150৳",In Stock,14744,Thermaltake,https://www.startech.com.bd/image/cache/catalog/power-supply/thermaltake/smart-bm2-550w/smart-bm2-550w-500x500.jpg,"[{'Efficiency (Approx.)': '85%'}, {'Certification': 'Meet 80 PLUS Bronze at 115Vac input.'}, {'Fan Size': '140mm Fan: 2300 R.P.M. ± 10%'}, {'Voltage': '100V-240V~'}, {'Frequency Range': '47Hz -63Hz'}, {'Current': '8A max.'}, {'Modular Type': 'Semi Modular'}, {'Total Power': '550W'}, {'Peak Power': '660W'}, {'AC Input': '230Vac input'}, {'DC Output': '+12V'}, {'Main Power': '24pin Main connector (600mm) x 1'}, {'CPU': 'ATX 12V 8pin connector (600mm) x 1\r\n4+4pin connector (150mm) x 1'}, {'PCI-E': 'PCI-E 6+2pin connectors (500mm + 150mm) x 2'}, {'SATA': 'SATA connectors (500mm + 150mm + 150mm) x 3\r\nSATA connectors (500mm + 150mm + 150mm) x 3'}, {'Molex': 'Peripheral connectors (500mm + 150mm + 150mm+ 150mm) x 4'}, {'Floppy': 'Peripheral to FDD adapter cable (150mm) x 1'}, {'Manufacturing Warranty': '5 Years'}]"
